# provenance
# target	aptus data-acquisition brief target 3 — what SAP does NOT support (negative evidence register)
# source	help.sap.com, product SAP S/4HANA Cloud Public Edition, version 2608.500, state PRODUCTION
# source_url	one per row, in the source_url column; every row cites the exact topic it was read from
# access_method	anonymous reads of help.sap.com's own published content service (http.svc/deliverableMetadata, http.svc/pagecontent). No login, no api.sap.com traffic, no DOM scraping.
# date_read	2026-09-07
# deliverables_read	55 (40 country/region localisation deliverables including Malaysia, plus SAP Document and Reporting Compliance, Country/Region-Specific Functions, Extend and Integrate, Extensibility for Electronic Document Processing, SAP Intelligent Real Estate, Manage, Protect, International Trade, Finance, Contract Accounting, Public Sector, Banking, Insurance, Oil & Gas, and the 3-system-landscape migration troubleshooting guide)
# topics_read	13176 listed in those deliverables' tables of contents; 12959 returned a body
# statements_found	659 sentences matched the negation patterns; 539 kept after the filters below
# extraction_rule	sentence-level. A sentence is kept when it contains one of: is/are/was/were/can/could/will/would/shall/may/might/do/does/did/has/have + not + (supported|available|released|possible|permitted|allowed|covered|provided|delivered|offered); does/do not support; is/are unsupported; not supported by/for/in/with/on; no plans/support to/for; out of scope; is not part of; is/are excluded from; is/are not in scope.
# filter_rule	dropped 90 sentences opening with a conditional connector (If/When/Unless/Since/Because/While/Although/In case/...) and 20 whose negated subject is itself a conditional clause, because those state a condition rather than a product limitation; dropped 4 affirmative sentences ("You can ...") whose negation sits in a parenthetical relative clause; dropped 1 describing a transient example state; dropped 5 whose subject could not be isolated.
# column_source	capability=the title of the SAP topic the sentence was read from, verbatim. It is SAP's heading, NOT an aptus classification.
# column_source	scope_item_ids=scope item codes appearing IN THE SENTENCE ITSELF and present in the 2608 scope item set (sap-references/2608 Scope sheet, plus the codes in the published Available Interfaces table). Empty on most rows because SAP writes these statements about features, not scope items — an empty cell is not a claim that no scope item is affected.
# column_source	country=the country/region deliverable the topic belongs to; where the topic is not in a country deliverable, a country named explicitly in the sentence. Empty means the statement is product-wide or SAP did not name a country.
# column_source	what_is_not_supported=mechanically extracted from SAP's own sentence: the text preceding the negation verb, after the last connector (however/but/although/while/;/because/since/therefore) and with a leading conjunction stripped. Where nothing precedes the negation, the text following it is used. No wording was added.
# column_source	sap_statement_verbatim=the sentence exactly as SAP published it, whitespace-normalised only. Never softened, never paraphrased, never turned into a caveat.
# column_source	source_type=Help on every row. SAP Notes and Knowledge Base Articles live behind authentication on me.sap.com and were NOT read in this pass, so the KBA and Note families named in the brief are still unharvested — this file is the Help-portal slice of the register, not the register.
# column_source	source_id=the SAP loio, SAP's own stable document id for the topic
# column_source	released_on=empty on every row: help.sap.com publishes a content release (2608) for the document, not a release date for the individual statement. The release for every row in this file is 2608.
# column_source	future_support_stated=a clause from the same or the next sentence in which SAP says something about future support (no plans / not planned / in a future release / currently not / as of now / not yet), verbatim. Empty means SAP said nothing about the future there, NOT that support is planned.
# completeness	floor, and deliberately so. 55 of the product's deliverables were read, chosen because localisation and compliance content is where exclusions are stated; the other ~76 discovered deliverables and every deliverable outside this product were not read. The register is a lower bound on published exclusions, not a census.
# known_gap	the brief's own example — the Real Estate (RE-FX) invoice exclusion from the Malaysian e-invoice solution — is NOT in this file. It was not found on any help.sap.com page reachable without authentication in this pass. It is the class of statement SAP publishes in a KBA, and KBAs need a signed-in me.sap.com session. That gap is stated rather than filled.
# countries_covered	Austria=6, Belgium=4, Brazil=12, Chile=3, China=8, Colombia=9, Croatia=6, Czech Republic=2, Denmark=4, Egypt=4, Finland=2, France=5, Greece=5, Hungary=11, India=26, Ireland=6, Italy=10, Kazakhstan=4, Luxembourg=2, Malaysia=11, Mexico=11, Netherlands=5, Peru=6, Poland=19, Portugal=16, Romania=14, Slovakia=4, Slovenia=2, South Korea=8, Spain=8, Sweden=5, Switzerland=4, Taiwan=3, Thailand=4, Turkey=2, Ukraine=2, United Kingdom=7, United States=15
# rows_without_country	264
# not_claimed	this file states what SAP publishes for release 2608. It says nothing about what any tenant has activated.
capability	scope_item_ids	country	what_is_not_supported	sap_statement_verbatim	source_type	source_id	source_url	released_on	future_support_stated
TAX_CALCULATION_SEND		United States	This	This is not possible for any other transaction.	Help	04f181cba380424096c98196da27451d	https://help.sap.com/docs/SAP_S4HANA_CLOUD/fd8427fa19d140c7b66d8457a70473a1/04f181cba380424096c98196da27451d.html?version=2608.500		
TAX_FORCE_SEND		United States	This	This is not possible for any other transaction.	Help	4d664671929e42699d45394334c8752d	https://help.sap.com/docs/SAP_S4HANA_CLOUD/fd8427fa19d140c7b66d8457a70473a1/4d664671929e42699d45394334c8752d.html?version=2608.500		
TAX_UPDATE_SEND		United States	This	This is not possible for any other transaction.	Help	5f3020578c4e40ffa10185d1ff125213	https://help.sap.com/docs/SAP_S4HANA_CLOUD/fd8427fa19d140c7b66d8457a70473a1/5f3020578c4e40ffa10185d1ff125213.html?version=2608.500		
Tax Jurisdiction Information		United States	they are not needed by/	This simply indicates that they were not included in the proxy call because they are not needed by/are not supported by your tax provider.	Help	ec0996d24de243b28ee42f332bab2dd0	https://help.sap.com/docs/SAP_S4HANA_CLOUD/fd8427fa19d140c7b66d8457a70473a1/ec0996d24de243b28ee42f332bab2dd0.html?version=2608.500		
ATC Checks for Key User Extensibility Objects			Key user apps create objects and use APIs which	Key user apps create objects and use APIs which are not allowed in ABAP language version ABAP for Cloud Development.	Help	4753b6c425214774be2699827b7b5cd8	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0f69f8fb28ac4bf48d2b57b9637e81fa/4753b6c425214774be2699827b7b5cd8.html?version=2608.500		
Activating Additional eDocument Instance Creation			The current implementation of the CL_EDOC_FACTORY_EXT factory class only allows the creation of a single instance of an eDocument, that means that it	The current implementation of the CL_EDOC_FACTORY_EXT factory class only allows the creation of a single instance of an eDocument, that means that it is not possible to create two eDocument instances from the CL_EDOC_FACTORY_EXT factory class.	Help	8d8244f37efa40d5b4b929eed9fe4770	https://help.sap.com/docs/SAP_S4HANA_CLOUD/439a34c3d6ec406a91fb29585ab0ede5/8d8244f37efa40d5b4b929eed9fe4770.html?version=2608.500		
Actual Postings			You use the Fiori app Manage Direct Activity Allocationto perform manual creation, reversal and reposting of activity allocations as actual postings (plan data	You use the Fiori app Manage Direct Activity Allocationto perform manual creation, reversal and reposting of activity allocations as actual postings (plan data is not supported in PSM).	Help	b2fa0c4bb6c94d83a321ad4d8c9b9f70	https://help.sap.com/docs/SAP_S4HANA_CLOUD/93bd0b1e72ca4cbcbfb942d4497529f7/b2fa0c4bb6c94d83a321ad4d8c9b9f70.html?version=2608.500		
Adding Attachments			Digital signatures	Digital signatures are not supported.	Help	c7d221460f4a43d7af31a1af5e1f783d	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/c7d221460f4a43d7af31a1af5e1f783d.html?version=2608.500		
Adding Attachments			Interactive PDF files	Interactive PDF files are not supported.	Help	c7d221460f4a43d7af31a1af5e1f783d	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/c7d221460f4a43d7af31a1af5e1f783d.html?version=2608.500		
Adding Attachments			PDF/A and PDF/X files	PDF/A and PDF/X files are not supported.	Help	c7d221460f4a43d7af31a1af5e1f783d	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/c7d221460f4a43d7af31a1af5e1f783d.html?version=2608.500		
Analytical Apps Based on Analysis Path Framework (APF)			The below video	The below video is not part of the SAP product documentation.	Help	42d2df5636eb307be10000000a44147b	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/42d2df5636eb307be10000000a44147b.html?version=2608.500		
App Overview			Data for which data archiving	Data for which data archiving is not possible	Help	663ff4f5a64c411dbc0bd349d776b1ee	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/663ff4f5a64c411dbc0bd349d776b1ee.html?version=2608.500		Data which has a corresponding ILM object, but that has not yet been identified as consuming a considerable amount of memory
Archiving Banks Using FI_BANKS			Banks still in use	Banks still in use are excluded from processing during the archiving run.	Help	6855d7531a4d424de10000000a174cb4	https://help.sap.com/docs/SAP_S4HANA_CLOUD/cdccca8e03d74101a0135863bc522b49/6855d7531a4d424de10000000a174cb4.html?version=2608.500		
Archiving Document Info Records Using CV_DVS			DIR hierarchy and DIR structure	DIR hierarchy and DIR structure are not supported for rule inheritance.	Help	b21a6973fe8245a19ad22281f3901206	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/b21a6973fe8245a19ad22281f3901206.html?version=2608.500		
Archiving Material Cost Estimates Using CO_COPC			In other words, a link to the material master record	In other words, a link to the material master record is not allowed in order to ensure data consistency.	Help	0859d7531a4d424de10000000a174cb4	https://help.sap.com/docs/SAP_S4HANA_CLOUD/6b39bd1d0e5e4099a5b65d835c29c696/0859d7531a4d424de10000000a174cb4.html?version=2608.500		
Asset Retirement Obligation Migration Object			The full termination and partial retirement processes	The full termination and partial retirement processes are not covered by the migration.	Help	2e8f552773e345d399027e0913ff5663	https://help.sap.com/docs/SAP_S4HANA_CLOUD/74ffc024fd794eeca49dc8ffe7f9870d/2e8f552773e345d399027e0913ff5663.html?version=2608.500		
Asynchronous Processing of CMIS Calls to the Repository			There is a limitation on the bgPF which	There is a limitation on the bgPF which does not support generation of separate queues.	Help	21cd23b15ac34826a6b7c9c9fff4ffae	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/21cd23b15ac34826a6b7c9c9fff4ffae.html?version=2608.500		
Automatically Selecting Attachments			Digital signatures	Digital signatures are not supported.	Help	3d1203651ad54effa29909a326afa46d	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/3d1203651ad54effa29909a326afa46d.html?version=2608.500		
Automatically Selecting Attachments			Interactive PDF files	Interactive PDF files are not supported.	Help	3d1203651ad54effa29909a326afa46d	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/3d1203651ad54effa29909a326afa46d.html?version=2608.500		
Automatically Selecting Attachments			PDF/A and PDF/X files	PDF/A and PDF/X files are not supported.	Help	3d1203651ad54effa29909a326afa46d	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/3d1203651ad54effa29909a326afa46d.html?version=2608.500		
Automating Your Transport Workflow with Transport Automation			Collections scheduled by SAP	Collections scheduled by SAP are not available, so you can only choose to transport all software collections automatically.	Help	a4d7e9a526d14684ab1b5bf28ea77547	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0f69f8fb28ac4bf48d2b57b9637e81fa/a4d7e9a526d14684ab1b5bf28ea77547.html?version=2608.500		
Availability Control			to run the PSM AVC in parallel with the project or cost center AVC.	Please note that it is not possible to run the PSM AVC in parallel with the project or cost center AVC.	Help	d5dbe96e56c742d394cd5f08d820ef13	https://help.sap.com/docs/SAP_S4HANA_CLOUD/93bd0b1e72ca4cbcbfb942d4497529f7/d5dbe96e56c742d394cd5f08d820ef13.html?version=2608.500		
Before Getting Started			You can also analyze CDS views that	You can also analyze CDS views that are not released in order to better understand the structure of the virtual data model content.	Help	98b1bbb2c8814dc6b331b8cc34767383	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0f69f8fb28ac4bf48d2b57b9637e81fa/98b1bbb2c8814dc6b331b8cc34767383.html?version=2608.500		
Budget Consumption Type			BCTs for general ledger accounts are pre-delivered by SAP with the standard chart of account (YCOA), changes to budget consumption type	BCTs for general ledger accounts are pre-delivered by SAP with the standard chart of account (YCOA), changes to budget consumption type are not allowed by default.	Help	77e97ca6336e4c1585d64ffc9e91283a	https://help.sap.com/docs/SAP_S4HANA_CLOUD/93bd0b1e72ca4cbcbfb942d4497529f7/77e97ca6336e4c1585d64ffc9e91283a.html?version=2608.500		
Budget Periods			to post new budget, commitments and actual postings during the expired budget period.	It is not possible to post new budget, commitments and actual postings during the expired budget period.	Help	8f7348584a68442ba53a12d1d13ab50f	https://help.sap.com/docs/SAP_S4HANA_CLOUD/93bd0b1e72ca4cbcbfb942d4497529f7/8f7348584a68442ba53a12d1d13ab50f.html?version=2608.500		
Budget Relevancy and Expense/Revenue Setting			In this case, the respective overhead postings	In this case, the respective overhead postings are excluded from the availability control and any budget consumption.	Help	f5deb9d50e4848de85f9efabdca2c2a6	https://help.sap.com/docs/SAP_S4HANA_CLOUD/93bd0b1e72ca4cbcbfb942d4497529f7/f5deb9d50e4848de85f9efabdca2c2a6.html?version=2608.500		
Business Place			Business place	Business place does not support inter-company sales processes where a customer, selling company, and delivery company are involved.	Help	7c8dc760a9b5479a959fc57c20be01d4	https://help.sap.com/docs/SAP_S4HANA_CLOUD/60a09f68f2444ceca31dcac2e7017945/7c8dc760a9b5479a959fc57c20be01d4.html?version=2608.500		
Calculation Details for Transactions			Ledger-specific posting	Ledger-specific posting is not supported for ARO.	Help	78f14c6003354ca1b60021b2ec72f6bd	https://help.sap.com/docs/SAP_S4HANA_CLOUD/74ffc024fd794eeca49dc8ffe7f9870d/78f14c6003354ca1b60021b2ec72f6bd.html?version=2608.500		
Changing Multiple Documents in Account Maintenance			to change only the cash discount percentage rate or the due date for cash discount and retain all other due date details in the items selected with the previous	It is not possible to change only the cash discount percentage rate or the due date for cash discount and retain all other due date details in the items selected with the previous values.	Help	6806c5536a51204be10000000a174cb4	https://help.sap.com/docs/SAP_S4HANA_CLOUD/cdccca8e03d74101a0135863bc522b49/6806c5536a51204be10000000a174cb4.html?version=2608.500		
Clearing Control			Partial clearing	Partial clearing is not allowed for payments specifying a payment form.	Help	40417caf077d4fd783d49f13218e7315	https://help.sap.com/docs/SAP_S4HANA_CLOUD/cdccca8e03d74101a0135863bc522b49/40417caf077d4fd783d49f13218e7315.html?version=2608.500		
Configuring Fields of the Query			Axis option	Axis option is not supported for individual measures.	Help	cc4f03e7e20a4542bd8c19e9b70ae039	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0f69f8fb28ac4bf48d2b57b9637e81fa/cc4f03e7e20a4542bd8c19e9b70ae039.html?version=2608.500		
Configuring Fields of the Query			In specific conditions, if it is required to add or subtract these quantities then it	In specific conditions, if it is required to add or subtract these quantities then it is not possible to perform this action using standard functions as their dimensions are different.	Help	cc4f03e7e20a4542bd8c19e9b70ae039	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0f69f8fb28ac4bf48d2b57b9637e81fa/cc4f03e7e20a4542bd8c19e9b70ae039.html?version=2608.500		
Configuring Recipient Assignment			the person who completes the forwarded task	However, the person who completes the forwarded task may not be allowed to complete another parallel task assigned to the original recipient.	Help	1500e4821dcc4cfe8bb6c89688843055	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/1500e4821dcc4cfe8bb6c89688843055.html?version=2608.500		
Configuring Recipient Assignment			Radio buttons	Radio buttons are not available for email notifications or review steps.	Help	1500e4821dcc4cfe8bb6c89688843055	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/1500e4821dcc4cfe8bb6c89688843055.html?version=2608.500		
Configuring the Fields			Axis option	Axis option is not supported for individual measures.	Help	0cd38f7a86cb49aea8efaf24e98e10c9	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0f69f8fb28ac4bf48d2b57b9637e81fa/0cd38f7a86cb49aea8efaf24e98e10c9.html?version=2608.500		
Cost Center Replication			the Data Scope configuration is currently	Note that the Data Scope configuration is currently not supported for replication from SAP S/4HANA Cloud Public Edition to SAP Master Data Integration.	Help	decbb94c95fa421ead9101e4c43683f7	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0f69f8fb28ac4bf48d2b57b9637e81fa/decbb94c95fa421ead9101e4c43683f7.html?version=2608.500		Note that the Data Scope configuration is currently not supported for replication from SAP S/4HANA Cloud Public Edition to SAP Master Data Integration
Cost Center Replication			Semantic dates	Semantic dates are not supported for time‑dependent evaluation of filter conditions.	Help	decbb94c95fa421ead9101e4c43683f7	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0f69f8fb28ac4bf48d2b57b9637e81fa/decbb94c95fa421ead9101e4c43683f7.html?version=2608.500		Note that the Data Scope configuration is currently not supported for replication from SAP S/4HANA Cloud Public Edition to SAP Master Data Integration
Country/Region of Customer			A customer-specific definition of an additional country/region	A customer-specific definition of an additional country/region is not provided.	Help	fe88b0762e89480494e40da1f6837c1f	https://help.sap.com/docs/SAP_S4HANA_CLOUD/75f5a80b994b44a588790e2844e0d368/fe88b0762e89480494e40da1f6837c1f.html?version=2608.500		
Create Payment Advice			Payment Advice Extraction	Payment Advice Extraction is not available for FI-CA payment advices.	Help	a80bc5536a51204be10000000a174cb4	https://help.sap.com/docs/SAP_S4HANA_CLOUD/cdccca8e03d74101a0135863bc522b49/a80bc5536a51204be10000000a174cb4.html?version=2608.500		
Create an Intelligent Scenario of Type Embedded Using APL			The Confidence option	The Confidence option is not supported for Gradient Boosting Binary and Multinomial Classification.	Help	5eff63fd165744aba2554f52b416cd2c	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/5eff63fd165744aba2554f52b416cd2c.html?version=2608.500		
Creating Attachments			Special characters that	Special characters that are not supported gets replaced with "_".	Help	6353a64efe2d4e559d55b505998fb60c	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/6353a64efe2d4e559d55b505998fb60c.html?version=2608.500		
Creating Attachments			special characters	The following special characters are not allowed in the file name: []/<>|?\*:;,"{}.	Help	6353a64efe2d4e559d55b505998fb60c	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/6353a64efe2d4e559d55b505998fb60c.html?version=2608.500		
Creating Attachments			You cannot save the document when upload is in progress.If you try to save then the following message is displayed: 'Saving	You cannot save the document when upload is in progress.If you try to save then the following message is displayed: 'Saving is not allowed while uploads are in progress.	Help	6353a64efe2d4e559d55b505998fb60c	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/6353a64efe2d4e559d55b505998fb60c.html?version=2608.500		
Creating a Custom SAP Fiori Application Using SAP Business Application Studio			API services on SAP Business Accelerator Hub	API services on SAP Business Accelerator Hub are not supported.	Help	a71e8ffa917545c8af0a7c77992f8eba	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0f69f8fb28ac4bf48d2b57b9637e81fa/a71e8ffa917545c8af0a7c77992f8eba.html?version=2608.500		
Creating a Custom SAP Fiori Application Using SAP Business Application Studio			to build a custom UI based on a custom business object with authorization checks.	It is not possible to build a custom UI based on a custom business object with authorization checks.	Help	a71e8ffa917545c8af0a7c77992f8eba	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0f69f8fb28ac4bf48d2b57b9637e81fa/a71e8ffa917545c8af0a7c77992f8eba.html?version=2608.500		
Creating a Custom Search Model			Blanks	Blanks are not allowed anywhere in the name.	Help	7793ac82d8f441debff749523b829490	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/7793ac82d8f441debff749523b829490.html?version=2608.500		
Creating a Custom Search Model			Duplicate response or facet positions	Duplicate response or facet positions are not allowed.	Help	7793ac82d8f441debff749523b829490	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/7793ac82d8f441debff749523b829490.html?version=2608.500		
Creating a Custom Search Model			Duplicate selection of the same parameters	Duplicate selection of the same parameters are not allowed.	Help	7793ac82d8f441debff749523b829490	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/7793ac82d8f441debff749523b829490.html?version=2608.500		
Creating a Custom Search Model			Fields calculated using HANA restriction conditions	Fields calculated using HANA restriction conditions are excluded from the display.	Help	7793ac82d8f441debff749523b829490	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/7793ac82d8f441debff749523b829490.html?version=2608.500		
Creating a Custom Search Model			Special characters	Special characters are not allowed in the description.	Help	7793ac82d8f441debff749523b829490	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/7793ac82d8f441debff749523b829490.html?version=2608.500		
Creating a Custom Search Model			Special characters other than underscore (_)	Special characters other than underscore (_) are not allowed anywhere in the name.	Help	7793ac82d8f441debff749523b829490	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/7793ac82d8f441debff749523b829490.html?version=2608.500		
Creating a Node			Deep hierarchies	Deep hierarchies are not supported.	Help	d0d35b6781884a04b3959788ce953ebc	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0f69f8fb28ac4bf48d2b57b9637e81fa/d0d35b6781884a04b3959788ce953ebc.html?version=2608.500		
Creating a Story			some features	However, some features are not yet supported in the optimized view mode.	Help	0b844e733792419399aed3bbd748ee80	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/0b844e733792419399aed3bbd748ee80.html?version=2608.500		However, some features are not yet supported in the optimized view mode
Creating an ABAP Interface for Type Definitions			Create your own type definitions for the data types that	Create your own type definitions for the data types that are not released for developer extensibility.	Help	896bc8a7262549718489d2b6334fe3a8	https://help.sap.com/docs/SAP_S4HANA_CLOUD/439a34c3d6ec406a91fb29585ab0ede5/896bc8a7262549718489d2b6334fe3a8.html?version=2608.500		
Creating an Analysis Path			The below video	The below video is not part of the SAP product documentation.	Help	edd7df5636eb307be10000000a44147b	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/edd7df5636eb307be10000000a44147b.html?version=2608.500		
Creating the eDocument Process			With the current implementation of the CL_EDOC_FACTORY_EXT class, it	With the current implementation of the CL_EDOC_FACTORY_EXT class, it is not possible to create more than one extension processes for a country/region code.	Help	9738bcd2888141e08c2cc5e881fdb850	https://help.sap.com/docs/SAP_S4HANA_CLOUD/439a34c3d6ec406a91fb29585ab0ede5/9738bcd2888141e08c2cc5e881fdb850.html?version=2608.500		
Custom Business Objects (New Version)			Instance-based authorization	Instance-based authorization is not available for custom business objects.	Help	96a293310bbe4472b3cfccff2c7ad644	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0f69f8fb28ac4bf48d2b57b9637e81fa/96a293310bbe4472b3cfccff2c7ad644.html?version=2608.500		
Custom Business Objects (New Version)			Mind that associations between custom business objects of the previous version and the new version of the Custom Business Objects app	Mind that associations between custom business objects of the previous version and the new version of the Custom Business Objects app are not possible.	Help	96a293310bbe4472b3cfccff2c7ad644	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0f69f8fb28ac4bf48d2b57b9637e81fa/96a293310bbe4472b3cfccff2c7ad644.html?version=2608.500		
Custom CDS View Modeling Rules			Usages that contradict the supported capabilities might be unstable and	Usages that contradict the supported capabilities might be unstable and will not be supported.	Help	0f2be3d26b7f48b0b0c426c188b55a89	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0f69f8fb28ac4bf48d2b57b9637e81fa/0f2be3d26b7f48b0b0c426c188b55a89.html?version=2608.500		
Customer Data Browser Objects			The authorization concept	The authorization concept does not support any filtering by the Data Controller or by typical attributes reflecting the purposes of processing.	Help	4ff658f765b646d49491d424966e2d6f	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/4ff658f765b646d49491d424966e2d6f.html?version=2608.500		
Customer Invoice in Finance			Chronological sequence with date control	Chronological sequence with date control is not supported.	Help	f1efb3c0fc8d47db97ed930e72353625	https://help.sap.com/docs/SAP_S4HANA_CLOUD/60a09f68f2444ceca31dcac2e7017945/f1efb3c0fc8d47db97ed930e72353625.html?version=2608.500		
Customer Project			Transactions posted as periodic foreign currency valuations	Transactions posted as periodic foreign currency valuations are excluded from the actual amounts.	Help	41b33955bc0ae46ce10000000a441470	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/41b33955bc0ae46ce10000000a441470.html?version=2608.500		
Data Management in SAP Document AI			Currently. application scenarios which process sensitive personal data	Currently. application scenarios which process sensitive personal data are not supported with this integration;	Help	5050f0b9dc024847838f7b76825ba8f9	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/5050f0b9dc024847838f7b76825ba8f9.html?version=2608.500		
Data Management in SAP Document AI			The deletion of SAP Document AI data based on retention times	The deletion of SAP Document AI data based on retention times is not supported for the integrated scenario.	Help	5050f0b9dc024847838f7b76825ba8f9	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/5050f0b9dc024847838f7b76825ba8f9.html?version=2608.500		
Data Preparation for Mass Change of Assets			Default ledger data is derived and used if information about the ledger	Default ledger data is derived and used if information about the ledger is not provided.	Help	5061f0380ade499f89f26e5cec2e6c36	https://help.sap.com/docs/SAP_S4HANA_CLOUD/74ffc024fd794eeca49dc8ffe7f9870d/5061f0380ade499f89f26e5cec2e6c36.html?version=2608.500		
Data Preparation for Mass Change of Assets			Deletion	Deletion is not possible via template.	Help	5061f0380ade499f89f26e5cec2e6c36	https://help.sap.com/docs/SAP_S4HANA_CLOUD/74ffc024fd794eeca49dc8ffe7f9870d/5061f0380ade499f89f26e5cec2e6c36.html?version=2608.500		
Data Preparation for Mass Change of Assets			The deletion of an interval	The deletion of an interval is not possible via template.	Help	5061f0380ade499f89f26e5cec2e6c36	https://help.sap.com/docs/SAP_S4HANA_CLOUD/74ffc024fd794eeca49dc8ffe7f9870d/5061f0380ade499f89f26e5cec2e6c36.html?version=2608.500		
Data Preparation for Mass Creation of Assets			Default ledger data is derived and used if information about the ledger	Default ledger data is derived and used if information about the ledger is not provided.	Help	26d705ae820a4e51b558a6ea182f61ce	https://help.sap.com/docs/SAP_S4HANA_CLOUD/74ffc024fd794eeca49dc8ffe7f9870d/26d705ae820a4e51b558a6ea182f61ce.html?version=2608.500		
Data Transfer			During this timeslot your target system	During this timeslot your target system is not available.	Help	b36365ad21d44ce58ede393e1829c863	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/b36365ad21d44ce58ede393e1829c863.html?version=2608.500		
Define Scoping			Select USA as the country/region (USA is mandatory, otherwise the scope items mentioned in the following steps	Select USA as the country/region (USA is mandatory, otherwise the scope items mentioned in the following steps are not offered).	Help	fa20b6009b5e4d1e9caed6e05fad64bc	https://help.sap.com/docs/SAP_S4HANA_CLOUD/75f5a80b994b44a588790e2844e0d368/fa20b6009b5e4d1e9caed6e05fad64bc.html?version=2608.500		
Deleting Custom Contexts			Deletion	Deletion is not permitted if the object is used in situation handling or workflow use case.	Help	539fd9a6a9cd41a29caf46d12a970c60	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a630d57fc5004c6383e7a81efee7a8bb/539fd9a6a9cd41a29caf46d12a970c60.html?version=2608.500		
Derivation of the Budget Period from the Fund and Posting Date			Once the fund is available, the system uses the budget consumption date and the frequency to derive exactly one budget period (since it	Once the fund is available, the system uses the budget consumption date and the frequency to derive exactly one budget period (since it is not possible to have several budget periods for the same date/ frequency).	Help	918a1370a88b4db5bc6288e4bf26ffc4	https://help.sap.com/docs/SAP_S4HANA_CLOUD/93bd0b1e72ca4cbcbfb942d4497529f7/918a1370a88b4db5bc6288e4bf26ffc4.html?version=2608.500		
